V1	C2	V3	C4
-0.00503555	-0.001648	-0.00503555	-0.001648
-0.00186163	-0.00070193	-0.00186163	-0.00070193
0.15082248	0.04962309	0.15082248	0.04962309
0.13556322	0.04452651	0.13556322	0.04452651
0.37064731	0.12137211	0.37064731	0.12137211
0.13962218	0.04559465	0.13962218	0.04559465
0.05258339	0.01699881	0.05258339	0.01699881
0.01980651	0.00634785	0.01980651	0.00634785
0.007416	0.00241096	0.007416	0.00241096
0.00277718	0.00094607	0.00277718	0.00094607
-0.07061983	-0.02310251	-0.07061983	-0.02310251
-0.154149	-0.05059969	-0.154149	-0.05059969
-0.31852168	-0.10461745	-0.31852168	-0.10461745
-0.18085268	-0.05954161	-0.18085268	-0.05954161
-0.06805628	-0.02255318	-0.06805628	-0.02255318
-0.02557451	-0.0085757	-0.02557451	-0.0085757
-0.00961333	-0.00317392	-0.00961333	-0.00317392
-0.00357067	-0.0011597	-0.00357067	-0.0011597
-0.0013123	-0.0004883	-0.0013123	-0.0004883
0.15173803	0.04986724	0.15173803	0.04986724
0.14816736	0.0486465	0.14816736	0.0486465
0.26618245	0.08713035	0.26618245	0.08713035
0.10022278	0.03277688	0.10022278	0.03277688
0.0377514	0.01229896	0.0377514	0.01229896
0.01428266	0.00442518	0.01428266	0.00442518
0.00534074	0.00161748	0.00534074	0.00161748
0.0019837	0.00067141	0.0019837	0.00067141
-0.17383343	-0.0568865	-0.17383343	-0.0568865
-0.14203314	-0.04672384	-0.14203314	-0.04672384
-0.34672078	-0.11398663	-0.34672078	-0.11398663
-0.13055818	-0.04290903	-0.13055818	-0.04290903
-0.0491348	-0.01620533	-0.0491348	-0.01620533
-0.0184637	-0.00619526	-0.0184637	-0.00619526
-0.00686666	-0.00241096	-0.00686666	-0.00241096
-0.00253304	-0.00103763	-0.00253304	-0.00103763
0.04538102	0.01507614	0.04538102	0.01507614
0.14392529	0.04736473	0.14392529	0.04736473
0.31681263	0.10400708	0.31681263	0.10400708
0.19251075	0.06295969	0.19251075	0.06295969
0.07251198	0.02365185	0.07251198	0.02365185
0.02728355	0.00888089	0.02728355	0.00888089
0.01028474	0.00332652	0.01028474	0.00332652
0.00390637	0.00112918	0.00390637	0.00112918
0.00143437	0.00039674	0.00143437	0.00039674
-0.16879788	-0.05542161	-0.16879788	-0.05542161
-0.15070041	-0.04943999	-0.15070041	-0.04943999
-0.24967192	-0.08200324	-0.24967192	-0.08200324
-0.09399701	-0.03100681	-0.09399701	-0.03100681
-0.03540147	-0.01162755	-0.03540147	-0.01162755
-0.01330607	-0.00442518	-0.01330607	-0.00442518
-0.004944	-0.00177007	-0.004944	-0.00177007
-0.00180059	-0.00079348	-0.00180059	-0.00079348
0.14932707	0.04892117	0.14932707	0.04892117
0.14038515	0.04602191	0.14038515	0.04602191
0.3675344	0.120365	0.3675344	0.120365
0.13840143	0.04535051	0.13840143	0.04535051
0.0520951	0.01702933	0.0520951	0.01702933
0.01965392	0.00631733	0.01965392	0.00631733
0.00738548	0.00234993	0.00738548	0.00234993
0.0028077	0.00076296	0.0028077	0.00076296
-0.06772057	-0.02218696	-0.06772057	-0.02218696
-0.15634632	-0.05142369	-0.15634632	-0.05142369
-0.31928465	-0.1048616	-0.31928465	-0.1048616
-0.18042544	-0.05917539	-0.18042544	-0.05917539
-0.0679342	-0.02230903	-0.0679342	-0.02230903
-0.02551347	-0.00848415	-0.02551347	-0.00848415
-0.00958281	-0.00320444	-0.00958281	-0.00320444
-0.00357067	-0.00125126	-0.00357067	-0.00125126
-0.00128178	-0.00051881	-0.00128178	-0.00051881
0.15146336	0.04983672	0.15146336	0.04983672
0.14893033	0.04876858	0.14893033	0.04876858
0.26599932	0.08700827	0.26599932	0.08700827
0.10013123	0.0328074	0.10013123	0.0328074
0.03769036	0.01236	0.03769036	0.01236
0.01419111	0.00454726	0.01419111	0.00454726
0.00534074	0.00161748	0.00534074	0.00161748
0.00201422	0.00057985	0.00201422	0.00057985
-0.17554247	-0.05746635	-0.17554247	-0.05746635
-0.14630574	-0.04812769	-0.14630574	-0.04812769
-0.34473708	-0.1134373	-0.34473708	-0.1134373
-0.12985626	-0.04263436	-0.12985626	-0.04263436
-0.04889065	-0.01608326	-0.04889065	-0.01608326
-0.01840266	-0.00604266	-0.01840266	-0.00604266
-0.00689718	-0.00228889	-0.00689718	-0.00228889
-0.00253304	-0.00094607	-0.00253304	-0.00094607
